a,b,c,d,e
-1,0,0,0,0
-0.99,0.0199,0.01496,0.0012561,-0.013183
-0.98,0.0396,0.029786,0.002524,-0.026217
-0.97,0.0591,0.044479,0.0038029,-0.039101
-0.96,0.0784,0.059038,0.0050921,-0.051837
-0.95,0.0975,0.073462,0.0063908,-0.064424
-0.94,0.1164,0.087751,0.0076984,-0.076864
-0.93,0.1351,0.1019,0.0090141,-0.089156
-0.92,0.1536,0.11592,0.010337,-0.1013
-0.91,0.1719,0.1298,0.011667,-0.1133
-0.9,0.19,0.14354,0.013003,-0.12516
-0.89,0.2079,0.15715,0.014344,-0.13686
-0.88,0.2256,0.17062,0.01569,-0.14843
-0.87,0.2431,0.18395,0.017041,-0.15985
-0.86,0.2604,0.19714,0.018394,-0.17112
-0.85,0.2775,0.21019,0.01975,-0.18226
-0.84,0.2944,0.2231,0.021108,-0.19325
-0.83,0.3111,0.23587,0.022468,-0.20409
-0.82,0.3276,0.2485,0.023829,-0.2148
-0.81,0.3439,0.26099,0.02519,-0.22536
-0.8,0.36,0.27333,0.02655,-0.23578
-0.79,0.3759,0.28554,0.027909,-0.24607
-0.78,0.3916,0.2976,0.029267,-0.25621
-0.77,0.4071,0.30952,0.030623,-0.26621
-0.76,0.4224,0.32129,0.031976,-0.27607
-0.75,0.4375,0.33292,0.033325,-0.28579
-0.74,0.4524,0.34441,0.034671,-0.29538
-0.73,0.4671,0.35575,0.036012,-0.30483
-0.72,0.4816,0.36695,0.037348,-0.31413
-0.71,0.4959,0.378,0.038679,-0.3233
-0.7,0.51,0.38891,0.040003,-0.33234
-0.69,0.5239,0.39967,0.041321,-0.34123
-0.68,0.5376,0.41029,0.042632,-0.35
-0.67,0.5511,0.42075,0.043935,-0.35862
-0.66,0.5644,0.43107,0.04523,-0.36711
-0.65,0.5775,0.44125,0.046516,-0.37546
-0.64,0.5904,0.45127,0.047793,-0.38368
-0.63,0.6031,0.46115,0.04906,-0.39177
-0.62,0.6156,0.47087,0.050318,-0.39972
-0.61,0.6279,0.48045,0.051564,-0.40753
-0.6,0.64,0.48988,0.0528,-0.41521
-0.59,0.6519,0.49916,0.054024,-0.42276
-0.58,0.6636,0.50829,0.055236,-0.43018
-0.57,0.6751,0.51727,0.056436,-0.43746
-0.56,0.6864,0.5261,0.057623,-0.44461
-0.55,0.6975,0.53478,0.058797,-0.45163
-0.54,0.7084,0.54331,0.059957,-0.45852
-0.53,0.7191,0.55169,0.061103,-0.46527
-0.52,0.7296,0.55991,0.062235,-0.4719
-0.51,0.7399,0.56798,0.063352,-0.47839
-0.5,0.75,0.57591,0.064453,-0.48475
-0.49,0.7599,0.58367,0.065539,-0.49099
-0.48,0.7696,0.59129,0.066609,-0.49709
-0.47,0.7791,0.59875,0.067662,-0.50306
-0.46,0.7884,0.60606,0.068699,-0.50891
-0.45,0.7975,0.61322,0.069719,-0.51462
-0.44,0.8064,0.62022,0.070721,-0.5202
-0.43,0.8151,0.62707,0.071706,-0.52566
-0.42,0.8236,0.63376,0.072672,-0.53099
-0.41,0.8319,0.6403,0.073621,-0.53618
-0.4,0.84,0.64668,0.07455,-0.54125
-0.39,0.8479,0.65291,0.07546,-0.5462
-0.38,0.8556,0.65899,0.076352,-0.55101
-0.37,0.8631,0.66491,0.077223,-0.5557
-0.36,0.8704,0.67067,0.078075,-0.56026
-0.35,0.8775,0.67628,0.078906,-0.56469
-0.34,0.8844,0.68173,0.079718,-0.569
-0.33,0.8911,0.68703,0.080508,-0.57318
-0.32,0.8976,0.69217,0.081278,-0.57723
-0.31,0.9039,0.69716,0.082026,-0.58115
-0.3,0.91,0.70198,0.082753,-0.58495
-0.29,0.9159,0.70665,0.083459,-0.58863
-0.28,0.9216,0.71117,0.084142,-0.59217
-0.27,0.9271,0.71552,0.084804,-0.59559
-0.26,0.9324,0.71972,0.085443,-0.59889
-0.25,0.9375,0.72377,0.08606,-0.60206
-0.24,0.9424,0.72765,0.086654,-0.6051
-0.23,0.9471,0.73138,0.087225,-0.60802
-0.22,0.9516,0.73495,0.087773,-0.61082
-0.21,0.9559,0.73836,0.088298,-0.61349
-0.2,0.96,0.74161,0.0888,-0.61603
-0.19,0.9639,0.74471,0.089278,-0.61845
-0.18,0.9676,0.74765,0.089733,-0.62075
-0.17,0.9711,0.75043,0.090164,-0.62292
-0.16,0.9744,0.75305,0.09057,-0.62496
-0.15,0.9775,0.75551,0.090953,-0.62688
-0.14,0.9804,0.75781,0.091312,-0.62868
-0.13,0.9831,0.75996,0.091646,-0.63035
-0.12,0.9856,0.76195,0.091956,-0.6319
-0.11,0.9879,0.76378,0.092242,-0.63333
-0.1,0.99,0.76545,0.092503,-0.63463
-0.09,0.9919,0.76696,0.09274,-0.6358
-0.08,0.9936,0.76831,0.092951,-0.63685
-0.07,0.9951,0.7695,0.093138,-0.63778
-0.06,0.9964,0.77053,0.0933,-0.63859
-0.05,0.9975,0.77141,0.093438,-0.63927
-0.04,0.9984,0.77213,0.09355,-0.63983
-0.03,0.9991,0.77268,0.093638,-0.64026
-0.02,0.9996,0.77308,0.0937,-0.64057
-0.01,0.9999,0.77332,0.093738,-0.64075
0,1,0.7734,0.09375,-0.64082
0.01,0.9999,0.77332,0.093738,-0.64075
0.02,0.9996,0.77308,0.0937,-0.64057
0.03,0.9991,0.77268,0.093638,-0.64026
0.04,0.9984,0.77213,0.09355,-0.63983
0.05,0.9975,0.77141,0.093438,-0.63927
0.06,0.9964,0.77053,0.0933,-0.63859
0.07,0.9951,0.7695,0.093138,-0.63778
0.08,0.9936,0.76831,0.092951,-0.63685
0.09,0.9919,0.76696,0.09274,-0.6358
0.1,0.99,0.76545,0.092503,-0.63463
0.11,0.9879,0.76378,0.092242,-0.63333
0.12,0.9856,0.76195,0.091956,-0.6319
0.13,0.9831,0.75996,0.091646,-0.63035
0.14,0.9804,0.75781,0.091312,-0.62868
0.15,0.9775,0.75551,0.090953,-0.62688
0.16,0.9744,0.75305,0.09057,-0.62496
0.17,0.9711,0.75043,0.090164,-0.62292
0.18,0.9676,0.74765,0.089733,-0.62075
0.19,0.9639,0.74471,0.089278,-0.61845
0.2,0.96,0.74161,0.0888,-0.61603
0.21,0.9559,0.73836,0.088298,-0.61349
0.22,0.9516,0.73495,0.087773,-0.61082
0.23,0.9471,0.73138,0.087225,-0.60802
0.24,0.9424,0.72765,0.086654,-0.6051
0.25,0.9375,0.72377,0.08606,-0.60206
0.26,0.9324,0.71972,0.085443,-0.59889
0.27,0.9271,0.71552,0.084804,-0.59559
0.28,0.9216,0.71117,0.084142,-0.59217
0.29,0.9159,0.70665,0.083459,-0.58863
0.3,0.91,0.70198,0.082753,-0.58495
0.31,0.9039,0.69716,0.082026,-0.58115
0.32,0.8976,0.69217,0.081278,-0.57723
0.33,0.8911,0.68703,0.080508,-0.57318
0.34,0.8844,0.68173,0.079718,-0.569
0.35,0.8775,0.67628,0.078906,-0.56469
0.36,0.8704,0.67067,0.078075,-0.56026
0.37,0.8631,0.66491,0.077223,-0.5557
0.38,0.8556,0.65899,0.076352,-0.55101
0.39,0.8479,0.65291,0.07546,-0.5462
0.4,0.84,0.64668,0.07455,-0.54125
0.41,0.8319,0.6403,0.073621,-0.53618
0.42,0.8236,0.63376,0.072672,-0.53099
0.43,0.8151,0.62707,0.071706,-0.52566
0.44,0.8064,0.62022,0.070721,-0.5202
0.45,0.7975,0.61322,0.069719,-0.51462
0.46,0.7884,0.60606,0.068699,-0.50891
0.47,0.7791,0.59875,0.067662,-0.50306
0.48,0.7696,0.59129,0.066609,-0.49709
0.49,0.7599,0.58367,0.065539,-0.49099
0.5,0.75,0.57591,0.064453,-0.48475
0.51,0.7399,0.56798,0.063352,-0.47839
0.52,0.7296,0.55991,0.062235,-0.4719
0.53,0.7191,0.55169,0.061103,-0.46527
0.54,0.7084,0.54331,0.059957,-0.45852
0.55,0.6975,0.53478,0.058797,-0.45163
0.56,0.6864,0.5261,0.057623,-0.44461
0.57,0.6751,0.51727,0.056436,-0.43746
0.58,0.6636,0.50829,0.055236,-0.43018
0.59,0.6519,0.49916,0.054024,-0.42276
0.6,0.64,0.48988,0.0528,-0.41521
0.61,0.6279,0.48045,0.051564,-0.40753
0.62,0.6156,0.47087,0.050318,-0.39972
0.63,0.6031,0.46115,0.04906,-0.39177
0.64,0.5904,0.45127,0.047793,-0.38368
0.65,0.5775,0.44125,0.046516,-0.37546
0.66,0.5644,0.43107,0.04523,-0.36711
0.67,0.5511,0.42075,0.043935,-0.35862
0.68,0.5376,0.41029,0.042632,-0.35
0.69,0.5239,0.39967,0.041321,-0.34123
0.7,0.51,0.38891,0.040003,-0.33234
0.71,0.4959,0.378,0.038679,-0.3233
0.72,0.4816,0.36695,0.037348,-0.31413
0.73,0.4671,0.35575,0.036012,-0.30483
0.74,0.4524,0.34441,0.034671,-0.29538
0.75,0.4375,0.33292,0.033325,-0.28579
0.76,0.4224,0.32129,0.031976,-0.27607
0.77,0.4071,0.30952,0.030623,-0.26621
0.78,0.3916,0.2976,0.029267,-0.25621
0.79,0.3759,0.28554,0.027909,-0.24607
0.8,0.36,0.27333,0.02655,-0.23578
0.81,0.3439,0.26099,0.02519,-0.22536
0.82,0.3276,0.2485,0.023829,-0.2148
0.83,0.3111,0.23587,0.022468,-0.20409
0.84,0.2944,0.2231,0.021108,-0.19325
0.85,0.2775,0.21019,0.01975,-0.18226
0.86,0.2604,0.19714,0.018394,-0.17112
0.87,0.2431,0.18395,0.017041,-0.15985
0.88,0.2256,0.17062,0.01569,-0.14843
0.89,0.2079,0.15715,0.014344,-0.13686
0.9,0.19,0.14354,0.013003,-0.12516
0.91,0.1719,0.1298,0.011667,-0.1133
0.92,0.1536,0.11592,0.010337,-0.1013
0.93,0.1351,0.1019,0.0090141,-0.089156
0.94,0.1164,0.087751,0.0076984,-0.076864
0.95,0.0975,0.073462,0.0063908,-0.064424
0.96,0.0784,0.059038,0.0050921,-0.051837
0.97,0.0591,0.044479,0.0038029,-0.039101
0.98,0.0396,0.029786,0.002524,-0.026217
0.99,0.0199,0.01496,0.0012561,-0.013183
1,0,0,0,0
